ProblemSet,RavensProblem,Agent's Answer
Basic Problems B,Basic Problem B-01,-1
Basic Problems B,Basic Problem B-02,-1
Basic Problems B,Basic Problem B-03,-1
Basic Problems B,Basic Problem B-04,-1
Basic Problems B,Basic Problem B-05,-1
Basic Problems B,Basic Problem B-06,-1
Basic Problems B,Basic Problem B-07,-1
Basic Problems B,Basic Problem B-08,-1
Basic Problems B,Basic Problem B-09,-1
Basic Problems B,Basic Problem B-10,-1
Basic Problems B,Basic Problem B-11,-1
Basic Problems B,Basic Problem B-12,-1
Basic Problems D,Basic Problem D-01,3
Basic Problems D,Basic Problem D-02,1
Basic Problems D,Basic Problem D-03,3
Basic Problems D,Basic Problem D-04,1
Basic Problems D,Basic Problem D-05,4
